% COMP47490 2017 - Assignment 1 Q1
% Dataset bank for student ID number 15211282
@relation bank-15211282

@attribute checking_account {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits','all paid','existing paid','delayed previously',critical}
@attribute purpose {'new car','used car',furniture,laptop,wedding,repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installments numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property {house,apartment,car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute existing_credits numeric
@attribute job {unemployed,unskilled,skilled,'highly qualified'}
@attribute num_dependents numeric
@attribute online_banking {none,yes}
@attribute international_visa {yes,no}
@attribute creditworthiness {high,low}

@data
<0,24,'existing paid',other,1755,<100,>=7,4,'female div/dep/mar',guarantor,4,house,58,none,1,unskilled,1,yes,yes,high
>=200,30,critical,laptop,3017,<100,>=7,4,'male single',none,4,apartment,47,none,1,skilled,1,none,yes,high
<0,12,'existing paid',education,1200,'no known savings',1<=X<4,4,'female div/dep/mar',none,4,apartment,23,bank,1,skilled,1,yes,yes,high
0<=X<200,48,'no credits','new car',8358,500<=X<1000,<1,1,'female div/dep/mar',none,1,car,30,none,2,skilled,1,none,yes,high
'no checking',15,'existing paid','used car',3029,<100,4<=X<7,2,'male single',none,2,car,33,none,1,skilled,1,none,yes,high
0<=X<200,12,'existing paid',laptop,6468,'no known savings',unemployed,2,'male single',none,1,'no known property',52,none,1,'highly qualified',1,yes,yes,low
'no checking',18,'delayed previously',furniture,1808,<100,4<=X<7,4,'female div/dep/mar',none,1,house,22,none,1,skilled,1,none,yes,low
>=200,12,'existing paid',furniture,1474,<100,<1,4,'female div/dep/mar',none,1,apartment,33,bank,1,'highly qualified',1,yes,yes,high
<0,30,critical,'used car',6187,100<=X<500,4<=X<7,1,'male mar/wid',none,4,car,24,none,2,skilled,1,none,yes,high
<0,12,'existing paid',laptop,727,100<=X<500,<1,4,'male mar/wid',none,3,'no known property',33,none,1,unskilled,1,yes,yes,low
>=200,24,critical,furniture,3617,'no known savings',>=7,4,'male single','co applicant',4,'no known property',20,none,2,skilled,1,none,yes,high
0<=X<200,54,'no credits',business,15945,<100,<1,3,'male single',none,4,'no known property',58,none,1,skilled,1,yes,yes,low
'no checking',15,'existing paid',laptop,1979,'no known savings',>=7,4,'male single',none,2,car,35,none,1,skilled,1,none,yes,high
'no checking',24,'existing paid',laptop,2397,500<=X<1000,>=7,3,'male single',none,2,car,35,bank,2,skilled,1,yes,yes,low
'no checking',15,critical,laptop,1471,<100,1<=X<4,4,'male single',none,4,'no known property',35,none,2,skilled,1,yes,yes,high
0<=X<200,9,'existing paid',laptop,1206,<100,>=7,4,'female div/dep/mar',none,4,house,25,none,1,skilled,1,none,yes,high
0<=X<200,24,critical,laptop,1743,<100,>=7,4,'male single',none,2,apartment,48,none,2,unskilled,1,none,yes,high
'no checking',12,'existing paid','new car',1884,<100,>=7,4,'male single',none,4,car,39,none,1,'highly qualified',1,yes,yes,high
'no checking',15,'existing paid','new car',3186,>=1000,4<=X<7,2,'female div/dep/mar',none,3,car,20,none,1,skilled,1,none,yes,high
<0,12,'no credits',laptop,6199,<100,1<=X<4,4,'male single',none,2,apartment,28,none,2,skilled,1,yes,yes,low
<0,24,'delayed previously','new car',1333,<100,unemployed,4,'male single',none,2,house,43,none,2,skilled,2,none,yes,low
'no checking',10,'existing paid','new car',1546,<100,1<=X<4,3,'male single',none,2,house,31,none,1,unskilled,2,none,no,high
0<=X<200,12,critical,laptop,3573,<100,1<=X<4,1,'female div/dep/mar',none,1,house,23,none,1,unskilled,1,none,yes,high
0<=X<200,48,'existing paid',laptop,3979,'no known savings',4<=X<7,4,'male single',none,1,car,41,none,2,skilled,2,yes,yes,high
0<=X<200,18,critical,laptop,1245,<100,1<=X<4,4,'male mar/wid',none,2,car,33,none,1,skilled,1,none,yes,low
0<=X<200,12,'existing paid',laptop,1484,'no known savings',1<=X<4,2,'male mar/wid',none,1,house,25,none,1,skilled,1,yes,yes,low
'no checking',48,critical,business,7629,'no known savings',>=7,4,'male div/sep',none,2,car,46,bank,2,'highly qualified',2,none,yes,high
0<=X<200,6,'existing paid',laptop,2063,<100,<1,4,'male mar/wid',none,3,car,30,none,1,'highly qualified',1,yes,yes,high
'no checking',20,critical,'new car',3485,'no known savings',<1,2,'male div/sep',none,4,house,44,none,2,skilled,1,yes,yes,high
<0,48,'existing paid','used car',4788,<100,4<=X<7,4,'male single',none,3,apartment,26,none,1,skilled,2,none,yes,high
'no checking',30,critical,laptop,5771,<100,4<=X<7,4,'female div/dep/mar',none,2,car,25,none,2,skilled,1,none,yes,high
'no checking',18,critical,furniture,3780,<100,<1,3,'male div/sep',none,2,car,35,none,2,'highly qualified',1,yes,yes,high
<0,24,'existing paid',laptop,1823,<100,unemployed,4,'male single',none,2,car,30,stores,1,'highly qualified',2,none,yes,low
<0,36,'existing paid',furniture,3446,<100,>=7,4,'male single',none,2,car,42,none,1,skilled,2,none,yes,low
'no checking',6,critical,laptop,1554,<100,4<=X<7,1,'female div/dep/mar',none,2,car,24,none,2,skilled,1,yes,yes,high
0<=X<200,30,'existing paid','new car',2150,<100,1<=X<4,4,'female div/dep/mar',guarantor,2,'no known property',24,bank,1,skilled,1,none,yes,low
0<=X<200,36,'existing paid',furniture,9034,100<=X<500,<1,4,'male single','co applicant',1,'no known property',29,none,1,'highly qualified',1,yes,yes,low
<0,48,'all paid',business,7685,<100,4<=X<7,2,'female div/dep/mar',guarantor,4,car,37,none,1,skilled,1,none,yes,low
0<=X<200,18,'existing paid',laptop,3213,500<=X<1000,<1,1,'male mar/wid',none,3,house,25,none,1,skilled,1,none,yes,high
<0,9,critical,'new car',2799,<100,1<=X<4,2,'male single',none,2,house,36,none,2,skilled,2,none,yes,high
0<=X<200,30,'delayed previously',laptop,1919,100<=X<500,<1,4,'male single',none,3,'no known property',30,stores,2,'highly qualified',1,none,yes,low
<0,30,'no credits',furniture,4583,<100,1<=X<4,2,'male div/sep',guarantor,2,house,32,none,2,skilled,1,none,yes,high
'no checking',12,critical,laptop,2331,'no known savings',>=7,1,'male single','co applicant',4,house,49,none,1,skilled,1,yes,yes,high
<0,48,'existing paid',education,7476,<100,4<=X<7,4,'male single',none,1,'no known property',50,none,1,'highly qualified',1,yes,yes,high
0<=X<200,15,critical,laptop,1537,'no known savings',>=7,4,'male single',guarantor,4,house,50,none,2,skilled,1,yes,yes,high
<0,24,'existing paid',furniture,3149,<100,<1,4,'male single',none,1,'no known property',22,bank,1,skilled,1,none,yes,high
<0,24,'all paid','new car',2325,100<=X<500,4<=X<7,2,'male single',none,3,car,32,bank,1,skilled,1,none,yes,high
<0,42,'existing paid',furniture,7882,<100,4<=X<7,2,'male single',guarantor,4,apartment,45,none,1,skilled,2,none,yes,high
<0,12,'all paid',retraining,339,<100,>=7,4,'male mar/wid',none,1,car,45,bank,1,unskilled,1,none,yes,high
'no checking',30,critical,laptop,6742,'no known savings',4<=X<7,2,'male single',none,3,apartment,36,none,2,skilled,1,none,yes,high
'no checking',12,'existing paid','new car',2133,'no known savings',>=7,4,'female div/dep/mar',none,4,'no known property',52,none,1,'highly qualified',1,yes,yes,high
'no checking',6,critical,'new car',6761,<100,4<=X<7,1,'male single',none,3,'no known property',45,none,2,'highly qualified',2,yes,yes,high
<0,18,'existing paid',laptop,2389,<100,<1,4,'female div/dep/mar',none,1,car,27,stores,1,skilled,1,none,yes,high
<0,12,'existing paid',education,684,<100,1<=X<4,4,'male single',none,4,car,40,none,1,unskilled,2,none,yes,low
0<=X<200,9,'existing paid','new car',3195,'no known savings',1<=X<4,1,'female div/dep/mar',none,2,house,33,none,1,unskilled,1,none,yes,high
>=200,9,'existing paid',laptop,745,<100,1<=X<4,3,'female div/dep/mar',none,2,house,28,none,1,unskilled,1,none,yes,low
<0,24,'existing paid',laptop,1603,<100,>=7,4,'female div/dep/mar',none,4,car,55,none,1,skilled,1,none,yes,high
'no checking',12,'existing paid',laptop,804,<100,>=7,4,'male single',none,4,car,38,none,1,skilled,1,none,yes,high
<0,48,'existing paid',wedding,3051,<100,1<=X<4,3,'male single',none,4,car,54,none,1,skilled,1,none,yes,low
0<=X<200,6,'existing paid',laptop,484,<100,4<=X<7,3,'male mar/wid',guarantor,3,house,28,bank,1,unskilled,1,none,yes,high
'no checking',18,'existing paid',laptop,1505,<100,1<=X<4,4,'male single',none,2,'no known property',32,none,1,'highly qualified',1,yes,yes,high
0<=X<200,11,critical,'new car',1322,>=1000,1<=X<4,4,'female div/dep/mar',none,4,car,40,none,2,skilled,1,none,yes,high
<0,12,'existing paid',laptop,2214,<100,1<=X<4,4,'male single',none,3,apartment,24,none,1,unskilled,1,none,yes,high
'no checking',12,'existing paid',furniture,1123,500<=X<1000,1<=X<4,4,'female div/dep/mar',none,4,car,29,none,1,unskilled,1,none,yes,low
0<=X<200,12,'existing paid','new car',1007,>=1000,1<=X<4,4,'male mar/wid',none,1,house,22,none,1,skilled,1,none,yes,high
'no checking',22,'existing paid','new car',1283,'no known savings',4<=X<7,4,'female div/dep/mar',none,4,apartment,25,none,1,skilled,1,none,yes,high
<0,24,'existing paid','used car',2910,<100,4<=X<7,2,'male single',none,1,'no known property',34,none,1,'highly qualified',1,yes,yes,high
<0,12,'existing paid',laptop,701,<100,1<=X<4,4,'male mar/wid',none,2,house,40,none,1,unskilled,1,none,yes,high
0<=X<200,6,'existing paid',laptop,590,<100,<1,3,'male mar/wid',none,3,house,26,none,1,unskilled,1,none,no,high
'no checking',24,critical,'used car',6842,'no known savings',1<=X<4,2,'male single',none,4,apartment,46,none,2,'highly qualified',2,yes,yes,high
'no checking',21,'delayed previously',furniture,1591,100<=X<500,4<=X<7,4,'male single',none,3,house,34,none,2,'highly qualified',1,none,yes,high
>=200,10,'existing paid',wedding,1225,<100,1<=X<4,2,'male single',none,2,car,37,none,1,skilled,1,yes,yes,high
'no checking',6,'existing paid',wedding,1338,500<=X<1000,1<=X<4,1,'male div/sep',none,4,house,62,none,1,skilled,1,none,yes,high
<0,12,critical,'new car',2121,<100,1<=X<4,4,'male single',none,2,apartment,30,none,2,skilled,1,none,yes,high
0<=X<200,30,'existing paid',furniture,3832,<100,<1,2,'male mar/wid',none,1,apartment,22,none,1,skilled,1,none,yes,high
0<=X<200,12,'existing paid',furniture,983,>=1000,<1,1,'female div/dep/mar',none,4,house,19,none,1,unskilled,1,none,yes,high
<0,18,'delayed previously',education,8471,'no known savings',1<=X<4,1,'female div/dep/mar',none,2,car,23,none,2,skilled,1,yes,yes,high
0<=X<200,48,'existing paid','new car',8487,'no known savings',4<=X<7,1,'female div/dep/mar',none,2,car,24,none,1,skilled,1,none,yes,high
0<=X<200,8,'existing paid',laptop,760,<100,4<=X<7,4,'female div/dep/mar',guarantor,2,house,44,none,1,unskilled,1,none,yes,high
>=200,24,critical,'new car',1344,'no known savings',4<=X<7,4,'male single',none,2,house,37,bank,2,unskilled,2,none,yes,low
>=200,10,'existing paid','new car',1240,100<=X<500,>=7,1,'female div/dep/mar',none,4,'no known property',48,none,1,unskilled,2,none,yes,low
'no checking',27,critical,furniture,4526,>=1000,<1,4,'male single',none,2,house,32,stores,2,unskilled,2,yes,yes,high
0<=X<200,48,'all paid','new car',12169,'no known savings',unemployed,4,'male single','co applicant',4,'no known property',36,none,1,'highly qualified',1,yes,yes,high
0<=X<200,8,'existing paid',business,907,<100,<1,3,'male mar/wid',none,2,house,26,none,1,skilled,1,yes,yes,high
<0,6,critical,furniture,3384,<100,1<=X<4,1,'male div/sep',none,4,house,44,none,1,'highly qualified',1,yes,yes,low
'no checking',12,critical,education,701,<100,1<=X<4,4,'male single',none,2,car,32,none,2,skilled,1,none,yes,high
0<=X<200,26,'existing paid','used car',7966,<100,<1,2,'male single',none,3,car,30,none,2,skilled,1,none,yes,high
<0,18,'existing paid','used car',7511,'no known savings',>=7,1,'male single',none,4,apartment,51,none,1,skilled,2,yes,yes,low
'no checking',36,'delayed previously',business,9572,<100,<1,1,'male div/sep',none,1,car,28,none,2,skilled,1,none,yes,low
<0,6,'existing paid','new car',662,<100,<1,3,'male single',none,4,house,41,none,1,unskilled,2,yes,yes,high
<0,24,critical,'new car',1199,<100,>=7,4,'male single',none,4,car,60,none,2,unskilled,1,none,yes,low
<0,18,critical,repairs,1190,<100,unemployed,2,'female div/dep/mar',none,4,'no known property',55,none,3,unemployed,2,none,yes,low
<0,21,'existing paid',furniture,3599,<100,4<=X<7,1,'female div/dep/mar',none,4,car,26,none,1,unskilled,1,none,yes,high
<0,36,'existing paid','new car',9271,<100,4<=X<7,2,'male single',none,1,car,24,none,1,skilled,1,yes,yes,low
>=200,12,'existing paid',furniture,2251,<100,1<=X<4,1,'female div/dep/mar',none,2,car,46,none,1,unskilled,1,none,yes,high
'no checking',21,'delayed previously',business,2580,500<=X<1000,<1,4,'male single',none,2,house,41,bank,1,unskilled,2,none,yes,low
0<=X<200,24,'delayed previously','new car',1965,'no known savings',1<=X<4,4,'female div/dep/mar',none,4,car,42,none,2,skilled,1,yes,yes,high
<0,6,critical,furniture,1872,<100,unemployed,4,'male single',none,4,'no known property',36,none,3,'highly qualified',1,yes,yes,high
0<=X<200,7,'existing paid',laptop,2329,<100,<1,1,'female div/dep/mar',guarantor,1,house,45,none,1,skilled,1,none,yes,high
0<=X<200,72,'existing paid',laptop,5595,100<=X<500,1<=X<4,2,'male mar/wid',none,2,car,24,none,1,skilled,1,none,yes,low
>=200,12,'existing paid',furniture,1424,'no known savings',>=7,3,'female div/dep/mar',none,4,house,55,none,1,'highly qualified',1,yes,yes,high
<0,36,'delayed previously',business,2145,<100,4<=X<7,2,'male single',none,1,car,24,none,2,skilled,1,yes,yes,low
'no checking',12,'existing paid',business,1542,<100,4<=X<7,2,'male single',none,4,car,36,none,1,skilled,1,yes,yes,high
>=200,12,'existing paid','new car',1330,<100,<1,4,'male single',none,1,house,26,none,1,skilled,1,none,yes,high
'no checking',18,critical,'new car',1530,<100,1<=X<4,3,'male single',none,2,apartment,32,bank,2,skilled,1,none,yes,low
<0,21,'existing paid',laptop,1835,<100,1<=X<4,3,'female div/dep/mar',none,2,house,25,none,2,skilled,1,yes,yes,low
<0,12,critical,'new car',4843,<100,>=7,3,'male single','co applicant',4,apartment,43,none,2,skilled,1,yes,yes,low
'no checking',24,'existing paid',furniture,2835,500<=X<1000,>=7,3,'male single',none,4,apartment,53,none,1,skilled,1,none,yes,high
0<=X<200,30,critical,'new car',4249,<100,unemployed,4,'male mar/wid',none,2,car,28,none,2,'highly qualified',1,none,yes,low
<0,12,critical,'used car',1409,<100,>=7,4,'male single',none,3,house,54,none,1,skilled,1,none,yes,high
'no checking',36,'existing paid',education,9055,'no known savings',1<=X<4,2,'male single',none,4,'no known property',35,none,1,unskilled,2,yes,yes,high
0<=X<200,18,'no credits','new car',2278,100<=X<500,<1,3,'female div/dep/mar',none,3,car,28,none,2,skilled,1,none,yes,low
0<=X<200,24,critical,business,1935,<100,>=7,4,'male div/sep',none,4,house,31,none,2,skilled,1,yes,yes,low
'no checking',11,critical,'new car',1393,<100,<1,4,'female div/dep/mar',none,4,car,35,none,2,'highly qualified',1,none,yes,high
'no checking',24,'existing paid','used car',6313,'no known savings',>=7,3,'male single',none,4,car,41,none,1,'highly qualified',2,yes,yes,high
0<=X<200,18,critical,business,3590,<100,unemployed,3,'male mar/wid',none,3,car,40,none,3,unemployed,2,yes,yes,high
<0,18,critical,laptop,1880,<100,4<=X<7,4,'male mar/wid',none,1,apartment,32,none,2,'highly qualified',1,yes,yes,high
0<=X<200,36,'existing paid',education,3711,'no known savings',1<=X<4,2,'male mar/wid',none,2,car,27,none,1,skilled,1,none,yes,high
<0,15,'existing paid','new car',3959,<100,1<=X<4,3,'female div/dep/mar',none,2,apartment,29,none,1,skilled,1,yes,yes,low
0<=X<200,12,'existing paid',furniture,1922,<100,1<=X<4,4,'male single',none,2,apartment,37,none,1,unskilled,1,none,yes,low
<0,6,'existing paid','new car',1374,'no known savings',unemployed,4,'female div/dep/mar',none,3,apartment,75,none,1,'highly qualified',1,yes,yes,high
'no checking',10,'existing paid','used car',2848,100<=X<500,1<=X<4,1,'male single','co applicant',2,house,32,none,1,skilled,2,none,yes,high
'no checking',27,'delayed previously','used car',8613,>=1000,1<=X<4,2,'male single',none,2,car,27,none,2,skilled,1,none,yes,high
<0,6,'existing paid',wedding,343,<100,<1,4,'female div/dep/mar',none,1,house,27,none,1,skilled,1,none,yes,high
'no checking',12,'delayed previously',repairs,1555,>=1000,>=7,4,'male single',none,4,'no known property',55,none,2,skilled,2,none,yes,low
'no checking',12,'existing paid','used car',1413,>=1000,4<=X<7,3,'male single',none,2,apartment,55,none,1,skilled,1,none,no,high
<0,12,critical,laptop,385,<100,4<=X<7,4,'female div/dep/mar',none,3,house,58,none,4,unskilled,1,yes,yes,high
'no checking',12,critical,laptop,717,<100,>=7,4,'male single',none,4,house,52,none,3,skilled,1,none,yes,high
<0,24,'existing paid',furniture,1747,<100,<1,4,'male single','co applicant',1,apartment,24,none,1,unskilled,1,none,no,high
'no checking',21,'delayed previously','used car',2993,<100,1<=X<4,3,'male single',none,2,house,28,stores,2,unskilled,1,none,yes,high
0<=X<200,9,'existing paid',furniture,918,<100,1<=X<4,4,'female div/dep/mar',none,1,apartment,30,none,1,skilled,1,none,yes,low
'no checking',4,critical,laptop,1503,<100,4<=X<7,2,'male single',none,1,house,42,none,2,unskilled,2,none,yes,high
0<=X<200,36,'delayed previously',business,9857,100<=X<500,4<=X<7,1,'male single',none,3,apartment,31,none,2,unskilled,2,yes,yes,high
>=200,24,'existing paid',laptop,5152,<100,4<=X<7,4,'male single',none,2,car,25,bank,1,skilled,1,none,yes,high
<0,12,'existing paid',laptop,1498,<100,1<=X<4,4,'female div/dep/mar',none,1,car,23,bank,1,skilled,1,none,yes,high
'no checking',12,critical,furniture,3331,<100,>=7,2,'male single',none,4,apartment,42,stores,1,skilled,1,none,yes,high
'no checking',60,'existing paid',laptop,10144,100<=X<500,4<=X<7,2,'female div/dep/mar',none,4,house,21,none,1,skilled,1,yes,yes,high
'no checking',24,'delayed previously','new car',2032,<100,>=7,4,'male single',none,4,'no known property',60,none,2,skilled,1,yes,yes,high
'no checking',36,critical,'used car',5842,<100,>=7,2,'male single',none,2,apartment,35,none,2,skilled,2,yes,yes,high
>=200,30,critical,laptop,3656,'no known savings',>=7,4,'male single',none,4,apartment,49,stores,2,unskilled,1,none,yes,high
'no checking',6,critical,laptop,700,'no known savings',>=7,4,'male single',none,4,'no known property',36,none,2,skilled,1,none,yes,high
<0,24,'delayed previously',laptop,1659,<100,<1,4,'female div/dep/mar',none,2,car,29,none,1,unskilled,1,yes,yes,low
<0,18,'existing paid',furniture,4153,<100,1<=X<4,2,'male single','co applicant',3,car,42,none,1,skilled,1,none,yes,low
0<=X<200,18,'existing paid','new car',6260,<100,4<=X<7,3,'male single',none,3,house,28,none,1,unskilled,1,none,yes,high
<0,24,'existing paid','new car',1371,'no known savings',1<=X<4,4,'female div/dep/mar',none,4,house,25,none,1,skilled,1,none,yes,low
0<=X<200,12,critical,'used car',1860,<100,unemployed,4,'male single',none,2,car,34,none,2,'highly qualified',1,yes,yes,high
<0,20,critical,'new car',2235,<100,1<=X<4,4,'male mar/wid',guarantor,2,apartment,33,bank,2,skilled,1,none,no,low
<0,12,critical,'new car',691,<100,>=7,4,'male single',none,3,apartment,35,none,2,skilled,1,none,yes,low
'no checking',18,critical,laptop,1169,'no known savings',1<=X<4,4,'male single',none,3,apartment,29,none,2,skilled,1,yes,yes,high
<0,48,'existing paid','used car',10297,<100,4<=X<7,4,'male single',none,4,'no known property',39,stores,3,skilled,2,yes,yes,low
'no checking',15,'existing paid',laptop,3568,<100,>=7,4,'female div/dep/mar',none,2,car,54,bank,1,'highly qualified',1,yes,yes,high
<0,33,critical,furniture,4281,500<=X<1000,1<=X<4,1,'female div/dep/mar',none,4,car,23,none,2,skilled,1,none,yes,low
<0,15,'existing paid',business,806,<100,1<=X<4,4,'female div/dep/mar',none,4,apartment,22,none,1,unskilled,1,none,yes,high
>=200,12,'existing paid',laptop,3399,'no known savings',>=7,2,'male single',none,3,car,37,none,1,'highly qualified',1,none,yes,high
'no checking',36,critical,laptop,9566,<100,1<=X<4,2,'female div/dep/mar',none,2,car,31,stores,2,skilled,1,none,yes,high
<0,12,'existing paid',furniture,1282,<100,1<=X<4,2,'female div/dep/mar',none,4,car,20,none,1,skilled,1,none,yes,low
<0,15,'existing paid',furniture,1845,<100,<1,4,'female div/dep/mar',guarantor,1,apartment,46,none,1,skilled,1,none,yes,high
'no checking',12,'existing paid','new car',640,<100,1<=X<4,4,'male div/sep',none,2,house,49,none,1,unskilled,1,none,yes,high
'no checking',24,'existing paid','used car',7814,<100,4<=X<7,3,'male single',none,3,car,38,none,1,'highly qualified',1,yes,yes,high
'no checking',12,'all paid',retraining,3447,500<=X<1000,1<=X<4,4,'female div/dep/mar',none,3,house,35,none,1,unskilled,2,none,yes,high
<0,12,'existing paid',furniture,1858,<100,<1,4,'female div/dep/mar',none,1,car,22,none,1,skilled,1,none,yes,high
<0,27,'existing paid',laptop,3416,<100,1<=X<4,3,'male single',none,2,car,27,none,1,'highly qualified',1,none,yes,high
'no checking',15,'existing paid',wedding,874,'no known savings',<1,4,'female div/dep/mar',none,1,house,24,none,1,skilled,1,none,yes,high
'no checking',24,'existing paid','used car',2603,>=1000,1<=X<4,2,'female div/dep/mar',none,4,car,28,none,1,skilled,1,yes,yes,high
'no checking',42,critical,furniture,4042,500<=X<1000,1<=X<4,4,'male single',none,4,house,36,none,2,skilled,1,yes,yes,high
0<=X<200,24,'delayed previously',furniture,2064,<100,unemployed,3,'female div/dep/mar',none,2,apartment,34,none,1,'highly qualified',1,yes,yes,low
0<=X<200,18,critical,furniture,7374,<100,unemployed,4,'male single',none,4,apartment,40,stores,2,'highly qualified',1,yes,yes,high
0<=X<200,15,'all paid','new car',1264,100<=X<500,1<=X<4,2,'male mar/wid',none,2,apartment,25,none,1,skilled,1,none,yes,low
'no checking',9,'existing paid',furniture,2301,100<=X<500,<1,2,'female div/dep/mar',none,4,apartment,22,none,1,skilled,1,none,yes,high
0<=X<200,12,'existing paid',laptop,766,500<=X<1000,1<=X<4,4,'male single',none,3,house,66,none,1,unskilled,1,none,yes,low
'no checking',48,'delayed previously',laptop,7238,'no known savings',>=7,3,'male single',none,3,car,32,bank,2,skilled,2,none,yes,high
0<=X<200,9,'existing paid',laptop,458,<100,1<=X<4,4,'male single',none,3,house,24,none,1,skilled,1,none,yes,high
0<=X<200,12,'existing paid','new car',7472,'no known savings',unemployed,1,'female div/dep/mar',none,2,house,24,none,1,unemployed,1,none,yes,high
0<=X<200,45,critical,laptop,4746,<100,<1,4,'male single',none,2,apartment,25,none,2,unskilled,1,none,yes,low
'no checking',36,critical,'used car',11054,'no known savings',1<=X<4,4,'male single',none,2,car,30,none,1,'highly qualified',1,yes,yes,high
<0,24,'existing paid',laptop,1987,<100,1<=X<4,2,'male single',none,4,house,21,none,1,unskilled,2,none,yes,low
0<=X<200,15,'no credits','new car',1778,<100,<1,2,'female div/dep/mar',none,1,house,26,none,2,unemployed,1,none,yes,low
0<=X<200,48,'existing paid',laptop,3060,<100,4<=X<7,4,'male single',none,4,house,28,none,2,skilled,1,none,yes,low
<0,15,critical,furniture,975,<100,1<=X<4,2,'male div/sep',none,3,apartment,25,none,2,skilled,1,none,yes,high
0<=X<200,36,'delayed previously',business,4455,<100,1<=X<4,2,'male div/sep',none,2,house,30,stores,2,'highly qualified',1,yes,yes,low
0<=X<200,12,critical,'new car',958,<100,4<=X<7,2,'male single',none,3,house,47,none,2,unskilled,2,none,yes,high
'no checking',7,'delayed previously',laptop,846,'no known savings',>=7,3,'male single',none,4,'no known property',36,none,1,skilled,1,none,yes,high
'no checking',18,critical,laptop,2238,<100,1<=X<4,2,'female div/dep/mar',none,1,car,25,none,2,skilled,1,none,yes,high
'no checking',10,'existing paid','new car',1287,'no known savings',>=7,4,'male single','co applicant',2,apartment,45,none,1,unskilled,1,none,no,high
'no checking',36,critical,laptop,3342,'no known savings',>=7,4,'male single',none,2,car,51,none,1,skilled,1,yes,yes,high
0<=X<200,18,'delayed previously',repairs,6204,<100,1<=X<4,2,'male single',none,4,house,44,none,1,unskilled,2,yes,yes,high
<0,30,'existing paid',furniture,6350,'no known savings',>=7,4,'male single',none,4,apartment,31,none,1,skilled,1,none,yes,low
0<=X<200,36,'no credits',laptop,3804,<100,1<=X<4,4,'female div/dep/mar',none,1,car,42,none,1,skilled,1,yes,yes,low
'no checking',12,critical,furniture,1592,>=1000,4<=X<7,3,'female div/dep/mar',none,2,apartment,35,none,1,skilled,1,none,no,high
0<=X<200,15,'existing paid','new car',2631,100<=X<500,1<=X<4,2,'female div/dep/mar',none,4,car,28,none,2,skilled,1,yes,yes,low
>=200,24,'existing paid',laptop,1258,500<=X<1000,1<=X<4,3,'female div/dep/mar',none,3,car,57,none,1,unskilled,1,none,yes,high
<0,36,critical,'used car',9629,<100,4<=X<7,4,'male single',none,4,car,24,none,2,skilled,1,yes,yes,low
'no checking',15,critical,furniture,1520,'no known savings',>=7,4,'male single',none,4,apartment,63,none,1,skilled,1,none,yes,high
'no checking',10,'existing paid','new car',1418,100<=X<500,1<=X<4,3,'male single',none,2,house,35,none,1,unskilled,1,none,no,high
<0,48,'existing paid',laptop,6758,<100,1<=X<4,3,'female div/dep/mar',none,2,car,31,none,1,skilled,1,yes,yes,low
0<=X<200,16,critical,'new car',1175,<100,unemployed,2,'male single',none,3,car,68,none,3,unemployed,1,yes,yes,high
'no checking',36,critical,'new car',3535,<100,4<=X<7,4,'male single',none,4,car,37,none,2,skilled,1,yes,yes,high
<0,12,'existing paid','new car',2579,<100,<1,4,'male single',none,1,house,33,none,1,unskilled,2,none,yes,low
<0,12,critical,'new car',2171,<100,1<=X<4,4,'male single',none,4,apartment,38,bank,2,unskilled,1,none,no,high
<0,36,'existing paid',other,15857,<100,unemployed,2,'male div/sep','co applicant',3,car,43,none,1,'highly qualified',1,none,yes,high
0<=X<200,36,critical,laptop,2337,<100,>=7,4,'male single',none,4,house,36,none,1,skilled,1,none,yes,high
0<=X<200,24,'existing paid',laptop,3758,500<=X<1000,unemployed,1,'female div/dep/mar',none,4,'no known property',23,none,1,unemployed,1,none,yes,high
0<=X<200,24,'no credits',business,4241,<100,1<=X<4,1,'male single',none,4,house,36,none,3,unskilled,1,yes,yes,low
'no checking',12,'existing paid','new car',1386,500<=X<1000,1<=X<4,2,'female div/dep/mar',none,2,apartment,26,none,1,skilled,1,none,yes,low
>=200,36,'existing paid',laptop,5848,<100,1<=X<4,4,'male single',none,1,car,24,none,1,skilled,1,none,yes,high
'no checking',12,critical,laptop,976,'no known savings',>=7,4,'male single',none,4,car,35,none,2,skilled,1,none,yes,high
'no checking',36,'existing paid',business,7409,'no known savings',>=7,3,'male single',none,2,apartment,37,none,2,skilled,1,none,yes,high
'no checking',9,critical,furniture,2406,<100,unemployed,2,'male single',none,3,car,31,none,1,'highly qualified',1,none,yes,high
